"periode","demande brute","demande nette"
1166,69779.000,69779.000
1167,67773.000,67773.000
1168,65427.500,65427.500
1169,64149.000,64149.000
1170,63703.500,63703.500
1171,65940.500,65940.500
1172,70623.500,70623.500
1173,67796.000,67796.000
1174,63613.500,63613.500
1175,61525.500,61525.500
1176,63238.000,63238.000
1177,62147.000,62147.000
1178,59445.000,59445.000
1179,59006.500,59006.500
1180,56682.500,56682.500
1181,55510.000,55510.000
1182,56659.500,56659.500
1183,60582.500,60582.500
1184,65894.000,65894.000
1185,68412.500,68412.500
1186,69304.000,69304.000
1187,68435.500,68435.500
1188,67429.000,67429.000
1189,67422.000,67422.000
1190,66092.000,66092.000
1191,63051.500,63051.500
1192,60360.500,60360.500
1193,58685.000,58685.000
1194,58097.500,58097.500
1195,60950.500,60950.500
1196,65523.500,65523.500
1197,63205.500,63205.500
1198,59565.500,59565.500
1199,57644.000,57644.000
1200,59505.000,59505.000
1201,58428.500,58428.500
1202,55220.000,55220.000
1203,54228.000,54228.000
1204,51869.500,51869.500
1205,50222.000,50222.000
1206,50187.500,50187.500
1207,51849.000,51849.000
1208,54038.500,54038.500
1209,55634.500,55634.500
1210,57373.500,57373.500
1211,57271.000,57271.000
1212,56415.500,56415.500
1213,57089.000,57089.000
1214,56169.000,56169.000
1215,52900.500,52900.500
1216,50483.000,50483.000
1217,49073.500,49073.500
1218,49059.500,49059.500
1219,52631.000,52631.000
1220,58082.000,58082.000
1221,56874.500,56874.500
1222,54140.500,54140.500
1223,52816.000,52816.000
1224,55097.000,55097.000
1225,54449.000,54449.000
1226,51744.000,51744.000
1227,50912.500,50912.500
1228,48622.500,48622.500
1229,46882.000,46882.000
1230,46555.500,46555.500
1231,47492.500,47492.500
1232,48827.500,48827.500
1233,49975.500,49975.500
1234,52221.500,52221.500
1235,53224.000,53224.000
1236,53222.000,53222.000
1237,54240.500,54240.500
1238,53153.000,53153.000
1239,49403.000,49403.000
1240,47194.000,47194.000
1241,46051.000,46051.000
1242,46957.000,46957.000
