Date;Heure;RES11 (+ RES11WE);RES2 (+ RES5);RES2WE;RES3;RES4
09/01/2021;7;813.1462582;1263.541485;1642.120915;777.1616119;682.9875373
09/01/2021;8;899.8657242;1316.020355;1882.295409;880.7239983;786.5056209
09/01/2021;9;964.4434456;1363.235668;2022.079175;952.9824024;874.021215
09/01/2021;10;992.4409052;1356.026392;2122.082917;962.216758;883.5649352
09/01/2021;11;1004.098625;1352.453798;1988.37338;951.4869052;878.4090967
09/01/2021;12;1008.494957;1466.78164;1499.362873;943.5551395;841.1322232
09/01/2021;13;942.3881734;1429.613381;1369.995339;873.562535;779.5527913
09/01/2021;14;891.1870089;1311.509431;1392.960394;822.4919654;730.5159358
09/01/2021;15;858.0641251;1260.788371;1454.834722;797.26437;698.0258184
09/01/2021;16;867.9547606;1226.894119;1509.382854;811.8185354;693.6240037
09/01/2021;17;923.8245922;1260.438958;1621.405555;860.9619153;727.4989008
09/01/2021;18;1003.716999;1351.175442;1657.680011;934.2961551;774.2708849
09/01/2021;19;1060.549482;1409.320638;1689.154946;973.6175935;791.3611706
09/01/2021;20;1025.489371;1379.18439;1731.542564;929.0719823;758.2401835
09/01/2021;21;933.3601847;1356.333223;1613.452112;861.0886824;696.5379553
09/01/2021;22;848.2429398;1427.102351;1264.455668;1560.892199;634.7319752
09/01/2021;23;774.690888;1554.510174;934.4253752;1374.008062;590.2977838
10/01/2021;0;725.2660505;1514.884598;870.5204691;1148.210314;575.9676288
10/01/2021;1;693.5108444;1471.643701;828.4443758;968.952453;610.8395928
10/01/2021;2;688.9800905;1429.925883;861.4577483;868.260255;621.6620376
10/01/2021;3;690.5871538;1294.931804;1062.637734;822.1798475;608.6088642
10/01/2021;4;697.3761971;1219.418194;1181.578874;808.8067551;594.3858071
10/01/2021;5;714.5684273;1209.37826;1228.29719;822.5274548;596.1998279
10/01/2021;6;744.5325106;1231.977337;1342.04663;841.3593078;621.9166283
10/01/2021;7;794.3509881;1245.949941;1610.216949;916.6973799;657.4453262
10/01/2021;8;883.7777552;1315.197499;1749.981989;1024.225499;743.5649683
10/01/2021;9;978.3061479;1381.626924;1875.972091;1144.887939;832.4338972
10/01/2021;10;1040.79426;1410.503381;2090.225139;1194.454856;875.7062201
10/01/2021;11;1058.203716;1415.892631;1981.487932;1212.947546;879.2309635
10/01/2021;12;1053.979749;1508.520169;1587.36114;1183.464619;828.6337568
10/01/2021;13;954.9980978;1452.987489;1512.408761;1055.785517;741.8208792
10/01/2021;14;885.4563893;1320.004177;1495.130495;983.2939126;694.9454154
10/01/2021;15;848.7367229;1257.335369;1505.167799;951.2244332;657.6274728
10/01/2021;16;860.0711941;1218.527156;1521.059042;964.7546573;661.7999696
10/01/2021;17;918.842829;1248.015112;1598.485009;1023.554315;700.889316
10/01/2021;18;1015.89554;1360.394239;1668.280268;1111.489584;759.2833631
10/01/2021;19;1062.405248;1411.195045;1798.163022;1132.54308;778.1677304
10/01/2021;20;1008.6749;1361.796271;1903.896201;1079.34717;761.0457193
10/01/2021;21;915.8135855;1338.948978;1779.158765;992.5615772;699.4196892
10/01/2021;22;823.8175092;1403.894794;1371.4012;1685.277103;620.6033397
10/01/2021;23;744.4178823;1531.262724;1020.581592;1498.576233;572.1028174
11/01/2021;0;700.9067612;1499.644918;1206.443179;1243.023468;560.5614762
11/01/2021;1;680.1539878;1477.198662;1030.814008;1045.763608;601.5513705
11/01/2021;2;678.6379268;1446.331791;942.0505576;933.7841224;614.6646179
11/01/2021;3;683.8513405;1317.921363;1072.714245;879.3377002;606.3120444
11/01/2021;4;695.6284595;1239.291499;1187.296799;861.5943821;592.3663282
11/01/2021;5;724.3721185;1245.112347;1268.152168;861.7517152;600.7582144
11/01/2021;6;789.8006676;1329.907239;1321.592281;627.6930458;634.9301018
11/01/2021;7;889.8142623;1357.780052;1433.639645;635.0393287;393.5981231
11/01/2021;8;939.0240533;1321.196507;1325.164272;621.2946488;397.7712074
11/01/2021;9;951.6734873;1301.621165;1301.36538;602.4337649;385.6570503
11/01/2021;10;938.21233;1262.282961;1265.150767;571.8847867;370.1906726
11/01/2021;11;937.336462;1253.212526;1244.027362;560.8490559;369.3328845
11/01/2021;12;930.9931792;1362.019259;1430.631523;564.9305554;371.6081789
11/01/2021;13;866.5355418;1338.852014;1480.352594;523.2860124;347.3013041
11/01/2021;14;819.5545104;1236.887681;1378.859787;490.6130223;324.6769086
11/01/2021;15;794.4056575;1189.134722;1254.666284;481.5481875;317.1373379
11/01/2021;16;808.5674638;1171.511249;1202.033341;499.9819116;325.2235233
11/01/2021;17;878.9553416;1247.932993;1231.48529;549.4724183;355.6646296
11/01/2021;18;996.8041408;1374.29419;1345.588984;628.7499501;401.9245237
11/01/2021;19;1055.417181;1419.118915;1406.749051;668.0569007;420.6276756
11/01/2021;20;1000.705456;1343.201845;1351.866001;636.8752089;403.1605661
11/01/2021;21;907.1261632;1310.366814;1340.882061;592.3713481;371.5612801
11/01/2021;22;803.7213529;1365.973914;1510.032837;1293.592907;339.5874904
11/01/2021;23;717.6582591;1476.642223;1673.905137;1109.359407;310.7887653
12/01/2021;0;667.7778125;1425.834286;1364.867001;882.6639932;305.8456254
12/01/2021;1;640.5817431;1377.159485;1358.921195;733.0924399;967.0779974
12/01/2021;2;637.8094973;1324.797469;1291.989558;649.9776492;858.744576
12/01/2021;3;638.1817413;1194.342646;1147.460381;618.2832907;706.4711769
12/01/2021;4;643.9882959;1122.798398;1078.357424;607.5006213;621.0444626
12/01/2021;5;666.1662745;1136.549642;1102.063551;618.9581295;594.9701874
12/01/2021;6;736.6333821;1217.478682;1231.481571;544.9211988;618.0657716
12/01/2021;7;829.7448773;1241.548807;1327.550765;576.2948793;653.2844796
12/01/2021;8;868.0844286;1186.022022;1268.599591;569.5943979;700.4919067
12/01/2021;9;866.6605872;1153.435793;1204.30468;552.11858;725.3820648
12/01/2021;10;855.0539385;1132.412859;1147.06657;535.6378527;718.4565874
